These are the search contexts used by crowd.

See http://docs.atlassian.com/crowd/1.6/constant-values.html#com.atlassian.crowd.integration.SearchContext.PRINCIPAL_ACTIVE

APPLICATION_ACTIVE 	                  "application.active"
APPLICATION_DIRECTORY_MAPPING 	      "application.directory.mapping"
APPLICATION_GROUP_MAPPING      	      "application.group.mapping"
APPLICATION_NAME 	                    "application.name"
CONTAINER_POPULATE_DIRECT_MEMBER_DN 	"container.populate.direct.member.dn"
DIRECTORY_ACTIVE                    	"directory.active"
DIRECTORY_NAME                        "directory.name"
DIRECTORY_TYPE 	                      "directory.type"
GROUP_ACTIVE 	                        "group.active"
GROUP_DIRECTORY_ID 	                  "group.directory.id"
GROUP_DN 	                            "group.dn"
GROUP_NAME 	                          "group.name"
GROUP_POPULATE_DIRECT_SUBGROUPS 	    "group.populate.direct.sub.groups"
GROUP_POPULATE_MEMBERSHIPS 	          "group.populate.memberships"
GROUP_PRINCIPAL_MEMBER 	              "group.principal.member"
PRINCIPAL_ACTIVE 	                    "principal.active"
PRINCIPAL_DIRECTORY_ID 	              "principal.directory.id"
PRINCIPAL_EMAIL 	                    "principal.email"
PRINCIPAL_FULLNAME 	                  "principal.fullname"
PRINCIPAL_NAME 	                      "principal.name"
ROLE_ACTIVE 	                        "role.active"
ROLE_DIRECTORY_ID 	                  "role.directory.id"
ROLE_NAME 	                          "role.name"
ROLE_POPULATE_MEMBERSHIPS 	          "role.populate.memberships"
ROLE_PRINCIPAL_MEMBER 	              "role.principal.memeber"
SEARCH_INDEX_START 	                  "search.index.start"
SEARCH_MAX_RESULTS 	                  "search.max.results"
TOKEN_APPLICATION_ONLY 	              "token.application.only"
TOKEN_EXPIRATION_DATE 	              "token.expiration.date"
TOKEN_NAME 	                          "token.account.name"
TOKEN_PRINCIPAL_DIRECTORY_ID 	        "token.principal.directory.id"
TOKEN_PRINCIPAL_ONLY 	                "token.principal.only"
TOKEN_SECRET_NUMBER 	                "token.secret.number"
